ListSizes,TestResult
0,0
1000,1
2000,3
3000,3
4000,5
5000,5
6000,7
7000,8
8000,8
9000,9
10000,10
11000,11
12000,14
13000,16
14000,16
15000,16
16000,17
17000,18
18000,19
19000,20
20000,21
21000,24
22000,28
23000,28
24000,25
25000,28
26000,28
27000,29
28000,29
29000,33
30000,31
31000,33
32000,36
33000,36
34000,37
35000,39
36000,40
37000,41
38000,42
39000,42
40000,42
41000,42
42000,46
43000,45
44000,48
45000,50
46000,51
47000,51
48000,55
49000,54
50000,54
51000,54
52000,56
53000,58
54000,59
55000,60
56000,61
57000,67
58000,64
59000,64
60000,67
61000,68
62000,63
63000,65
64000,72
65000,76
66000,71
67000,71
68000,74
69000,74
70000,76
71000,77
72000,78
73000,79
74000,84
75000,82
76000,82
77000,86
78000,89
79000,86
80000,88
81000,86
82000,90
83000,92
84000,94
85000,95
86000,94
87000,96
88000,96
89000,98
90000,94
91000,91
92000,99
93000,102
94000,102
95000,105
96000,104
97000,106
98000,108
99000,108
100000,111
101000,111
102000,111
103000,114
104000,114
105000,113
106000,123
107000,119
108000,116
109000,118
110000,126
111000,122
112000,122
113000,123
114000,127
115000,128
116000,123
117000,129
118000,126
119000,131
120000,133
121000,124
122000,136
123000,133
124000,134
125000,137
126000,137
127000,139
128000,139
129000,140
130000,145
131000,153
132000,145
133000,144
134000,146
135000,148
136000,147
137000,155
138000,152
139000,152
140000,156
141000,152
142000,154
143000,153
144000,159
145000,158
146000,149
147000,160
148000,163
149000,166
150000,165
151000,159
152000,166
153000,168
154000,169
155000,169
156000,172
157000,173
158000,172
159000,175
160000,176
161000,179
162000,178
163000,180
164000,180
165000,178
166000,180
167000,180
168000,182
169000,186
170000,185
171000,192
172000,189
173000,187
174000,187
175000,188
176000,194
177000,210
178000,210
179000,210
180000,216
181000,200
182000,194
183000,190
184000,194
185000,186
186000,195
187000,194
188000,196
189000,189
190000,203
191000,207
192000,213
193000,214
194000,212
195000,217
196000,211
197000,214
198000,220
199000,205
