K,TestResult
0,0
1000,223
2000,237
3000,245
4000,253
5000,256
6000,259
7000,258
8000,274
9000,272
10000,269
11000,285
12000,282
13000,280
14000,283
15000,299
16000,283
17000,288
18000,296
19000,290
20000,295
21000,296
22000,294
23000,296
24000,302
25000,308
26000,297
27000,310
28000,302
29000,307
30000,307
31000,319
32000,303
33000,316
34000,317
35000,309
36000,320
37000,311
38000,322
39000,321
40000,325
41000,315
42000,324
43000,314
44000,334
45000,318
46000,332
47000,342
48000,320
49000,328
50000,341
51000,334
52000,333
53000,336
54000,338
55000,321
56000,332
57000,324
58000,340
59000,343
60000,333
61000,341
62000,333
63000,343
64000,342
65000,339
66000,467
67000,468
68000,455
69000,466
70000,469
71000,476
72000,464
73000,478
74000,466
75000,485
76000,470
77000,495
78000,478
79000,484
80000,464
81000,493
82000,492
83000,476
84000,483
85000,465
86000,489
87000,486
88000,482
89000,469
90000,455
91000,477
92000,489
93000,499
94000,494
95000,484
96000,485
97000,482
98000,498
99000,491
100000,506
101000,480
102000,491
103000,485
104000,498
105000,495
106000,521
107000,505
108000,505
109000,501
110000,504
111000,504
112000,478
113000,486
114000,503
115000,511
116000,510
117000,513
118000,499
119000,496
120000,483
121000,497
122000,497
123000,496
124000,528
125000,542
126000,526
127000,531
128000,524
129000,532
130000,516
131000,521
132000,534
133000,548
134000,553
135000,548
136000,553
137000,560
138000,537
139000,527
140000,563
141000,544
142000,555
143000,562
144000,571
145000,533
146000,586
147000,566
148000,571
149000,542
150000,543
151000,566
152000,556
153000,555
154000,559
155000,551
156000,577
157000,546
158000,544
159000,567
160000,559
161000,559
162000,580
163000,576
164000,569
165000,575
166000,543
167000,570
168000,557
169000,562
170000,580
171000,560
172000,577
173000,572
174000,541
175000,568
176000,562
177000,581
178000,545
179000,551
180000,564
181000,579
182000,572
183000,538
184000,572
185000,554
186000,573
187000,545
188000,565
189000,569
190000,546
191000,596
192000,587
193000,548
194000,566
195000,542
196000,556
197000,556
198000,567
199000,581
