DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,0,1,1
3000,2,2,3
4000,2,2,7
5000,5,3,6
6000,5,4,6
7000,8,7,7
8000,9,5,13
9000,14,7,12
10000,17,8,12
11000,19,9,13
12000,22,10,13
13000,25,11,16
14000,28,11,15
15000,33,13,15
16000,37,15,16
17000,41,16,20
18000,61,24,25
19000,68,26,29
20000,71,26,27
21000,79,27,27
22000,86,29,27
23000,96,31,29
24000,105,34,29
25000,107,35,33
26000,122,36,31
27000,129,38,31
28000,139,40,37
29000,147,43,33
30000,161,50,36
31000,171,48,34
32000,186,50,36
33000,202,52,36
34000,219,56,39
35000,297,82,54
36000,319,82,54
37000,326,87,56
38000,337,91,59
39000,360,96,57
40000,390,97,58
41000,409,103,62
42000,421,106,60
43000,429,111,60
44000,455,113,63
45000,472,116,62
46000,532,124,64
47000,550,127,65
48000,563,131,64
49000,591,137,66
50000,616,139,67
51000,625,143,72
52000,689,151,67
53000,718,158,73
54000,730,160,71
55000,769,171,73
56000,784,174,70
57000,827,178,71
58000,828,188,78
59000,943,187,78
60000,952,197,75
61000,995,203,74
62000,1046,207,80
63000,1038,212,77
64000,1066,233,79
65000,1136,228,82
66000,1099,234,79
67000,1227,241,81
68000,1245,253,81
69000,1330,262,82
70000,1747,345,115
71000,1800,359,129
72000,1893,369,116
73000,1749,363,121
74000,1833,380,146
75000,1945,370,138
76000,2015,389,135
77000,2056,397,131
78000,1971,405,129
79000,2196,399,134
